"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people under 18 between 2013-2017."
"36009960702, NY","36009960702","=""36009960702""","19.38"
"36011040900, NY","36011040900","=""36011040900""","20.92"
"36101960500, NY","36101960500","=""36101960500""","20.49"
"36017970801, NY","36017970801","=""36017970801""","19.67"
"36053031000, NY","36053031000","=""36053031000""","17.29"
"36017970900, NY","36017970900","=""36017970900""","20.79"
"36069052100, NY","36069052100","=""36069052100""","16.76"
"36099950900, NY","36099950900","=""36099950900""","22.34"
"36053031100, NY","36053031100","=""36053031100""","24.30"
"36117021000, NY","36117021000","=""36117021000""","18.49"
"36003950900, NY","36003950900","=""36003950900""","23.22"
"36007012300, NY","36007012300","=""36007012300""","22.49"
"36095740700, NY","36095740700","=""36095740700""","17.95"
"36031960800, NY","36031960800","=""36031960800""","14.61"
"36003950800, NY","36003950800","=""36003950800""","8.60"
"36069052000, NY","36069052000","=""36069052000""","15.31"
"36003951000, NY","36003951000","=""36003951000""","22.45"
"36089492700, NY","36089492700","=""36089492700""","21.56"
"36089491700, NY","36089491700","=""36089491700""","25.26"
"36015010200, NY","36015010200","=""36015010200""","19.98"
"36009960100, NY","36009960100","=""36009960100""","24.64"
"36019100600, NY","36019100600","=""36019100600""","18.99"
"36065024200, NY","36065024200","=""36065024200""","21.35"
"36031961000, NY","36031961000","=""36031961000""","18.80"
"36101963000, NY","36101963000","=""36101963000""","23.28"
"36103159510, NY","36103159510","=""36103159510""","25.17"
"36035970600, NY","36035970600","=""36035970600""","17.87"
"36011040800, NY","36011040800","=""36011040800""","18.84"
"36013036402, NY","36013036402","=""36013036402""","23.38"
"36109002300, NY","36109002300","=""36109002300""","20.12"
"36051030201, NY","36051030201","=""36051030201""","18.02"
"36037951300, NY","36037951300","=""36037951300""","20.72"
"36013037400, NY","36013037400","=""36013037400""","24.88"
"36093033102, NY","36093033102","=""36093033102""","21.79"
"36011040200, NY","36011040200","=""36011040200""","24.48"
"36117021600, NY","36117021600","=""36117021600""","23.47"
"36031960200, NY","36031960200","=""36031960200""","22.67"
"36121970800, NY","36121970800","=""36121970800""","24.63"
"36017970700, NY","36017970700","=""36017970700""","19.79"
"36097950500, NY","36097950500","=""36097950500""","22.19"
"36065940100, NY","36065940100","=""36065940100""","23.09"
"36063024001, NY","36063024001","=""36063024001""","21.74"
"36017970802, NY","36017970802","=""36017970802""","24.32"
"36089490400, NY","36089490400","=""36089490400""","15.73"
"36099950700, NY","36099950700","=""36099950700""","20.56"
"36037951100, NY","36037951100","=""36037951100""","18.80"
"36095740500, NY","36095740500","=""36095740500""","20.46"
"36067015700, NY","36067015700","=""36067015700""","25.59"
"36113073000, NY","36113073000","=""36113073000""","20.92"
"36105951300, NY","36105951300","=""36105951300""","18.40"
"36029015800, NY","36029015800","=""36029015800""","19.71"
"36019100200, NY","36019100200","=""36019100200""","20.75"
"36069050400, NY","36069050400","=""36069050400""","21.89"
"36073401300, NY","36073401300","=""36073401300""","19.36"
"36083051800, NY","36083051800","=""36083051800""","23.68"
"36045061800, NY","36045061800","=""36045061800""","25.82"
"36001014801, NY","36001014801","=""36001014801""","20.31"
"36013036901, NY","36013036901","=""36013036901""","18.12"
"36009961000, NY","36009961000","=""36009961000""","19.68"
"36017970602, NY","36017970602","=""36017970602""","16.85"
"36115094000, NY","36115094000","=""36115094000""","22.04"
"36011041100, NY","36011041100","=""36011041100""","18.49"
"36089491000, NY","36089491000","=""36089491000""","21.25"
"36111951000, NY","36111951000","=""36111951000""","15.30"
"36051031200, NY","36051031200","=""36051031200""","21.03"
"36019100100, NY","36019100100","=""36019100100""","22.27"
"36025970800, NY","36025970800","=""36025970800""","16.88"
"36109001800, NY","36109001800","=""36109001800""","16.38"
"36045061700, NY","36045061700","=""36045061700""","19.15"
"36121970100, NY","36121970100","=""36121970100""","20.98"
"36089490600, NY","36089490600","=""36089490600""","26.27"
"36083051701, NY","36083051701","=""36083051701""","27.50"
"36045060600, NY","36045060600","=""36045060600""","22.90"
"36001014802, NY","36001014802","=""36001014802""","19.63"
"36065025600, NY","36065025600","=""36065025600""","25.31"
"36033950400, NY","36033950400","=""36033950400""","26.39"
"36037950100, NY","36037950100","=""36037950100""","21.94"
"36099950100, NY","36099950100","=""36099950100""","27.73"
"36105952000, NY","36105952000","=""36105952000""","12.25"
"36037950200, NY","36037950200","=""36037950200""","22.95"
"36111955000, NY","36111955000","=""36111955000""","15.77"
"36123150500, NY","36123150500","=""36123150500""","23.67"
"36083052103, NY","36083052103","=""36083052103""","15.14"
"36003950600, NY","36003950600","=""36003950600""","21.67"
"36069050500, NY","36069050500","=""36069050500""","21.12"
"36011041200, NY","36011041200","=""36011041200""","18.90"
"36077590202, NY","36077590202","=""36077590202""","14.02"
"36115087000, NY","36115087000","=""36115087000""","16.19"
"36017971000, NY","36017971000","=""36017971000""","19.81"
