"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people under 18 between 2013-2017."
"37189920100, NC","37189920100","=""37189920100""","23.23"
"37099940200, NC","37099940200","=""37099940200""","22.22"
"37037020300, NC","37037020300","=""37037020300""","19.65"
"37051002600, NC","37051002600","=""37051002600""","25.92"
"37009970200, NC","37009970200","=""37009970200""","19.66"
"37189920702, NC","37189920702","=""37189920702""","17.71"
"37155960401, NC","37155960401","=""37155960401""","25.15"
"37033930100, NC","37033930100","=""37033930100""","18.79"
"37101040500, NC","37101040500","=""37101040500""","22.45"
"37099950500, NC","37099950500","=""37099950500""","20.21"
"37145920601, NC","37145920601","=""37145920601""","21.90"
"37171930802, NC","37171930802","=""37171930802""","15.35"
"37171931102, NC","37171931102","=""37171931102""","23.40"
"37025041601, NC","37025041601","=""37025041601""","21.74"
"37127011300, NC","37127011300","=""37127011300""","24.26"
"37079950300, NC","37079950300","=""37079950300""","21.39"
"37047931200, NC","37047931200","=""37047931200""","16.85"
"37087920101, NC","37087920101","=""37087920101""","19.17"
"37001021300, NC","37001021300","=""37001021300""","22.46"
"37165010400, NC","37165010400","=""37165010400""","14.49"
"37065020600, NC","37065020600","=""37065020600""","23.52"
"37115010400, NC","37115010400","=""37115010400""","19.43"
"37061090502, NC","37061090502","=""37061090502""","22.83"
"37027031100, NC","37027031100","=""37027031100""","20.25"
"37169070600, NC","37169070600","=""37169070600""","19.42"
"37151030504, NC","37151030504","=""37151030504""","21.05"
"37039930400, NC","37039930400","=""37039930400""","18.10"
"37153970800, NC","37153970800","=""37153970800""","21.92"
"37019020204, NC","37019020204","=""37019020204""","23.59"
"37191000101, NC","37191000101","=""37191000101""","22.83"
"37181961000, NC","37181961000","=""37181961000""","24.17"
"37011930400, NC","37011930400","=""37011930400""","12.96"
"37021002603, NC","37021002603","=""37021002603""","19.25"
"37179020902, NC","37179020902","=""37179020902""","26.63"
"37077970601, NC","37077970601","=""37077970601""","23.53"
"37179020800, NC","37179020800","=""37179020800""","20.29"
"37089930100, NC","37089930100","=""37089930100""","21.86"
"37097060801, NC","37097060801","=""37097060801""","20.75"
"37017950400, NC","37017950400","=""37017950400""","20.11"
"37195001500, NC","37195001500","=""37195001500""","20.29"
"37131920401, NC","37131920401","=""37131920401""","21.24"
"37157041100, NC","37157041100","=""37157041100""","19.18"
"37039930100, NC","37039930100","=""37039930100""","20.82"
"37093970201, NC","37093970201","=""37093970201""","19.34"
"37097060902, NC","37097060902","=""37097060902""","22.62"
"37163970800, NC","37163970800","=""37163970800""","24.54"
"37143920201, NC","37143920201","=""37143920201""","25.10"
"37047931100, NC","37047931100","=""37047931100""","25.70"
"37035011802, NC","37035011802","=""37035011802""","24.38"
"37147001600, NC","37147001600","=""37147001600""","19.16"
"37185950101, NC","37185950101","=""37185950101""","9.72"
"37043950200, NC","37043950200","=""37043950200""","20.60"
"37159050904, NC","37159050904","=""37159050904""","20.06"
"37031970805, NC","37031970805","=""37031970805""","22.77"
"37085071102, NC","37085071102","=""37085071102""","25.58"
"37181960100, NC","37181960100","=""37181960100""","18.21"
"37157040101, NC","37157040101","=""37157040101""","21.20"
"37187950200, NC","37187950200","=""37187950200""","21.16"
"37061090701, NC","37061090701","=""37061090701""","19.56"
